Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,15.7712,13.2182,10.764,12.04
0.01,15.8805,13.2366,10.8291,12.2427
0.015,16.002,13.2801,10.9012,12.4571
0.02,16.131,13.2997,10.952,12.6578
0.025,16.2612,13.3319,11.0299,12.8529
0.03,16.4033,13.367,11.0908,13.0428
0.035,16.5467,13.3984,11.1546,13.2224
0.04,16.7102,13.4324,11.2304,13.4114
0.045,16.88,13.4704,11.301,13.5813
0.05,17.0953,13.5156,11.3728,13.7632
0.055,17.3424,13.5691,11.4568,13.9429
0.06,17.6582,13.6186,11.5362,14.1069
0.065,18.0485,13.6611,11.6131,14.2533
0.07,18.8281,13.7152,11.6897,14.4227
0.075,21.2323,13.7726,11.7805,14.5739
0.08,340.433,13.8392,11.8662,14.7409
0.085,,13.908,11.9673,14.8962
0.09,,13.9708,12.0511,15.0363
0.095,,14.0506,12.1524,15.1986
0.1,,14.1347,12.2647,15.349
0.105,,14.2215,12.3685,15.5003
0.11,,14.3197,12.5009,15.6545
0.115,,14.4288,12.6273,15.8102
0.12,,14.5485,12.7797,15.976
0.125,,14.6769,12.9341,16.1317
0.13,,14.8409,13.1411,16.3045
0.135,,14.9981,13.3967,16.4945
0.14,,15.2127,13.7686,16.7074
0.145,,15.4487,14.4292,16.9379
0.15,,15.7458,15.5669,17.1476
0.155,,16.0999,20.9679,17.5246
0.16,,16.6322,565.535,17.7776
0.165,,17.4128,,18.1784
0.17,,19.1421,,18.7492
0.175,,135.672,,19.4427
0.18,,538.593,,20.022
0.185,,,,21.2743
0.19,,,,22.4605
0.195,,,,24.2098
0.2,,,,27.5088
0.205,,,,32.9584
0.21,,,,77.9022
0.215,,,,414.778
