Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,4.08034,4.36318,3.93795,4.07935
0.01,4.0991,4.39622,3.94167,4.09502
0.015,4.11375,4.41287,3.93826,4.10276
0.02,4.13149,4.43317,3.94678,4.12167
0.025,4.15413,4.46137,3.95027,4.1345
0.03,4.17651,4.4855,3.94833,4.14908
0.035,4.21591,4.53294,3.97313,4.18555
0.04,4.24281,4.57131,3.97849,4.20549
0.045,4.26423,4.5963,3.9808,4.21956
0.05,4.29545,4.65063,3.99626,4.24908
0.055,4.32895,4.69271,4.00196,4.26671
0.06,4.35533,4.74974,4.01014,4.28847
0.065,4.38725,4.79251,4.01901,4.31109
0.07,4.41874,4.84024,4.02472,4.32904
0.075,4.45883,4.89821,4.03911,4.36045
0.08,4.49517,4.96685,4.05136,4.38384
0.085,4.53224,5.04747,4.06042,4.40673
0.09,4.57464,5.12525,4.07537,4.43027
0.095,4.6168,5.20782,4.08515,4.4548
0.1,4.66167,5.28457,4.09737,4.48629
0.105,4.71054,5.40463,4.11444,4.51759
0.11,4.75064,5.50593,4.13112,4.54844
0.115,4.80806,5.64079,4.14189,4.57508
0.12,4.86693,5.80027,4.15961,4.60783
0.125,4.92033,5.96231,4.17557,4.63711
0.13,4.9777,6.15362,4.18858,4.66417
0.135,5.03949,6.31315,4.20682,4.70456
0.14,5.10714,6.57723,4.22193,4.73642
0.145,5.19079,6.89232,4.25266,4.78768
0.15,5.25776,7.12758,4.26139,4.81484
0.155,5.34384,7.55198,4.27929,4.8527
0.16,5.42871,7.93101,4.29829,4.88844
0.165,5.53311,8.53658,4.3249,4.94287
0.17,5.63572,9.19702,4.34923,4.9941
0.175,5.7268,10.0591,4.3697,5.0332
0.18,5.86218,10.8919,4.39767,5.08188
0.185,5.99025,12.1727,4.41872,5.12645
0.19,6.1127,14.1298,4.44106,5.18017
0.195,6.29834,16.5331,4.47642,5.24816
0.2,6.45333,22.0861,4.50743,5.29999
0.205,6.65283,30.0618,4.54389,5.36792
0.21,6.85007,59.3618,4.56926,5.42893
0.215,7.0753,1856.54,4.594,5.50008
0.22,7.33614,,4.63204,5.57527
0.225,7.639,,4.67328,5.67676
0.23,7.99956,,4.71261,5.75755
0.235,8.423,,4.75814,5.84644
0.24,8.85124,,4.79882,5.95653
0.245,9.39528,,4.84447,6.06295
0.25,10.1032,,4.90597,6.17419
0.255,10.8472,,4.94837,6.30825
0.26,11.9306,,5.0093,6.44791
0.265,13.0329,,5.05474,6.60962
0.27,14.5996,,5.13051,6.77722
0.275,16.5876,,5.19722,6.97671
0.28,19.6932,,5.27212,7.22183
0.285,24.6399,,5.36856,7.44109
0.29,31.3001,,5.4211,7.65506
0.295,61.7407,,5.52421,7.97266
0.3,1671.32,,5.63097,8.31332
0.305,,,5.71915,8.67154
0.31,,,5.8415,9.0781
0.315,,,5.94178,9.5624
0.32,,,6.11371,10.1924
0.325,,,6.25266,10.8877
0.33,,,6.44677,11.768
0.335,,,6.58406,12.6966
0.34,,,6.81574,13.9633
0.345,,,7.02946,15.6754
0.35,,,7.30091,17.966
0.355,,,7.5584,20.4998
0.36,,,7.77393,24.927
0.365,,,8.15484,31.4207
0.37,,,8.59812,45.4932
0.375,,,9.0533,82.4812
0.38,,,9.58116,1997.17
0.385,,,10.2454,
0.39,,,10.9991,
0.395,,,11.8979,
0.4,,,12.9396,
0.405,,,14.2166,
0.41,,,16.4165,
0.415,,,18.3122,
0.42,,,21.3078,
0.425,,,25.6584,
0.43,,,33.3523,
0.435,,,83.3555,
0.44,,,483.451,
