Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,5.32005,5.33408,5.30415,5.32717
0.01,5.36749,5.3988,5.34078,5.39147
0.015,5.39957,5.4447,5.35131,5.4201
0.02,5.41826,5.48171,5.34949,5.43723
0.025,5.45496,5.54957,5.36986,5.47551
0.03,5.50289,5.60866,5.39039,5.5136
0.035,5.53341,5.68076,5.40496,5.54772
0.04,5.56696,5.74627,5.41685,5.57637
0.045,5.60798,5.81076,5.43551,5.60792
0.05,5.64264,5.88037,5.44673,5.6331
0.055,5.68374,5.97087,5.46833,5.6667
0.06,5.71905,6.05554,5.47641,5.69086
0.065,5.75898,6.15714,5.49461,5.72646
0.07,5.80934,6.25242,5.51792,5.75331
0.075,5.83672,6.35681,5.53591,5.78704
0.08,5.88706,6.48713,5.54723,5.81672
0.085,5.94838,6.6525,5.58155,5.86183
0.09,6.00295,6.81748,5.61019,5.90327
0.095,6.05513,6.96026,5.63391,5.92838
0.1,6.10331,7.16603,5.65204,5.96385
0.105,6.16087,7.38754,5.68481,6.00411
0.11,6.23179,7.62714,5.71449,6.05203
0.115,6.30383,7.95067,5.75657,6.12566
0.12,6.37342,8.25202,5.79055,6.17332
0.125,6.44986,8.79353,5.83001,6.19599
0.13,6.51929,9.10548,5.86699,6.26559
0.135,6.63089,9.62727,5.92137,6.33639
0.14,6.72805,10.5098,5.9661,6.38168
0.145,6.8314,11.558,6.03071,6.48652
0.15,6.94933,12.6399,6.06301,6.52612
0.155,7.05633,14.5693,6.11413,6.64132
0.16,7.22767,16.8382,6.20526,6.76515
0.165,7.38354,21.0793,6.27889,6.88923
0.17,7.58394,26.766,6.33963,6.93167
0.175,7.80566,35.9652,6.41189,7.10105
0.18,8.05509,63.9491,6.54345,7.21007
0.185,8.28193,264.873,6.62073,7.35663
0.19,8.6846,,6.74204,7.54103
0.195,9.0587,,6.87951,7.68855
0.2,9.71673,,6.98886,7.94105
0.205,10.2636,,7.17433,8.15446
0.21,10.9017,,7.36461,8.79912
0.215,11.9065,,7.56911,8.90721
0.22,13.3484,,7.73137,9.11248
0.225,14.8781,,8.09985,9.80533
0.23,17.7409,,8.34671,10.2988
0.235,24.4497,,8.63729,10.6612
0.24,36.1899,,9.02111,11.3591
0.245,156.611,,9.46339,12.311
0.25,3165.79,,10.2861,13.4776
0.255,,,11.1433,15.7451
0.26,,,11.8631,17.1567
0.265,,,12.8153,18.2187
0.27,,,14.3701,19.6814
0.275,,,16.3667,26.8629
0.28,,,19.0586,31.1639
0.285,,,23.8483,48.0403
0.29,,,23.9619,47.8659
0.295,,,37.4469,88.4831
0.3,,,67.9955,271.424
0.305,,,661.555,
