Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,8.968,9.3712,8.65466,8.83149
0.01,9.05879,9.43795,8.71571,8.94437
0.015,9.12313,9.49481,8.73075,9.00915
0.02,9.18963,9.53254,8.74198,9.06103
0.025,9.26236,9.59392,8.7649,9.12235
0.03,9.33763,9.67652,8.78489,9.18566
0.035,9.3921,9.73237,8.78039,9.21926
0.04,9.46281,9.81086,8.79698,9.27074
0.045,9.52849,9.91086,8.81268,9.31911
0.05,9.60091,10.0064,8.82186,9.36338
0.055,9.66628,10.1308,8.83769,9.4133
0.06,9.74674,10.2767,8.86012,9.46789
0.065,9.83306,10.4302,8.88683,9.52714
0.07,9.89796,10.6141,8.8879,9.55827
0.075,9.96608,10.8192,8.90475,9.61097
0.08,10.0404,11.0527,8.92764,9.66878
0.085,10.1238,11.3462,8.94768,9.72342
0.09,10.2098,11.7322,8.97009,9.79113
0.095,10.2805,12.1527,8.98053,9.8345
0.1,10.3714,12.7753,9.00812,9.89905
0.105,10.4715,13.66,9.03813,9.9907
0.11,10.5669,15.1774,9.07543,10.0657
0.115,10.6767,16.9037,9.10455,10.1613
0.12,10.782,23.8537,9.14247,10.277
0.125,10.914,56.8518,9.18318,10.3813
0.13,11.0368,1414.2,9.23896,10.5457
0.135,11.2104,,9.26947,10.7142
0.14,11.3636,,9.34138,10.9328
0.145,11.537,,9.42028,11.1573
0.15,11.8093,,9.50789,11.4175
0.155,12.1409,,9.60651,11.775
0.16,12.327,,9.66652,12.1946
0.165,12.7303,,9.82674,12.9697
0.17,13.1595,,9.98161,13.495
0.175,13.7523,,10.1216,14.2185
0.18,14.6253,,10.3412,15.083
0.185,15.0552,,10.5688,16.6079
0.19,16.78,,11.1324,19.0233
0.195,18.3768,,11.3303,20.7192
0.2,21.56,,11.4399,25.3166
0.205,23.7727,,12.057,35.0138
0.21,29.6194,,13.0971,51.7375
0.215,36.5273,,14.1925,283.526
0.22,72.6908,,14.5111,
0.225,1052.37,,15.893,
0.23,,,21.9822,
0.235,,,25.7147,
0.24,,,25.891,
0.245,,,56.4578,
0.25,,,119.588,
0.255,,,351.689,
