Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,3.79312,4.26984,4.27505,4.30486
0.01,3.83659,4.30029,4.31565,4.37605
0.015,3.84389,4.29468,4.31299,4.40065
0.02,3.85017,4.27459,4.29968,4.41063
0.025,3.87329,4.28514,4.30991,4.45556
0.03,3.89601,4.29002,4.31818,4.48884
0.035,3.91096,4.28644,4.31417,4.50914
0.04,3.92851,4.28833,4.3154,4.53639
0.045,3.94829,4.3015,4.32647,4.57202
0.05,3.96213,4.29603,4.32287,4.59165
0.055,3.97873,4.30067,4.32308,4.61792
0.06,4.00124,4.30842,4.32528,4.64308
0.065,4.0153,4.31269,4.32338,4.66687
0.07,4.02801,4.31511,4.32336,4.68067
0.075,4.05505,4.33513,4.33293,4.71926
0.08,4.06976,4.33499,4.32506,4.72981
0.085,4.09158,4.35543,4.33195,4.76372
0.09,4.12049,4.37462,4.33699,4.79275
0.095,4.14032,4.38149,4.33792,4.81614
0.1,4.16852,4.4089,4.34128,4.84004
0.105,4.18713,4.41582,4.34144,4.8602
0.11,4.21338,4.43825,4.34594,4.8876
0.115,4.2415,4.47733,4.3553,4.92153
0.12,4.27141,4.49244,4.36023,4.9457
0.125,4.29883,4.52951,4.36125,4.97113
0.13,4.32611,4.55778,4.36712,5.0032
0.135,4.35451,4.5819,4.3749,5.02302
0.14,4.39357,4.62183,4.37692,5.05644
0.145,4.43866,4.68287,4.39037,5.10829
0.15,4.45851,4.70566,4.38661,5.11452
0.155,4.4951,4.77601,4.40012,5.16636
0.16,4.55067,4.82123,4.40926,5.20448
0.165,4.58556,4.88971,4.42392,5.24345
0.17,4.63715,4.96643,4.43504,5.29811
0.175,4.67576,5.01597,4.43341,5.31823
0.18,4.73939,5.08756,4.45498,5.36716
0.185,4.78844,5.1763,4.45701,5.3943
0.19,4.85884,5.27196,4.48662,5.46273
0.195,4.89939,5.3669,4.49207,5.4986
0.2,4.97567,5.51149,4.50927,5.55124
0.205,5.06178,5.62134,4.52975,5.62662
0.21,5.144,5.84719,4.55905,5.71094
0.215,5.26718,6.02959,4.59857,5.78081
0.22,5.35695,6.16807,4.6009,5.84398
0.225,5.44164,6.46417,4.63059,5.95157
0.23,5.61398,6.70504,4.64628,6.00749
0.235,5.71021,7.01559,4.68636,6.15672
0.24,5.92995,7.4329,4.72654,6.21967
0.245,6.05036,7.93279,4.79029,6.37722
0.25,6.34026,8.75791,4.83215,6.56285
0.255,6.6157,9.34337,4.89675,6.6793
0.26,6.91754,10.674,4.92403,6.95527
0.265,7.15263,12.2797,5.01876,7.02837
0.27,7.57606,14.9468,5.10112,7.34518
0.275,8.00922,32.7059,5.22156,7.63037
0.28,8.80771,786.945,5.24694,7.66756
0.285,9.8338,,5.33701,8.10829
0.29,10.6493,,5.56352,8.49689
0.295,12.0783,,5.61365,8.78837
0.3,14.9273,,5.74638,9.22189
0.305,18.3154,,6.035,10.5521
0.31,24.5386,,6.20512,10.9878
0.315,46.3087,,6.37598,11.5106
0.32,61.8672,,6.9592,12.6348
0.325,95.6729,,7.11596,14.4343
0.33,1894.62,,7.41172,18.8292
0.335,,,8.0113,23.2166
0.34,,,8.74473,28.0387
0.345,,,9.62149,84.6177
0.35,,,11.3881,273.829
0.355,,,11.5547,
0.36,,,14.4078,
0.365,,,14.9821,
0.37,,,28.5068,
0.375,,,38.8057,
0.38,,,105.685,
0.385,,,761.137,
