Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,4.83489,4.85061,4.81171,4.81564
0.01,4.87575,4.91273,4.82856,4.83441
0.015,4.90255,4.9564,4.83133,4.84325
0.02,4.93388,5.01489,4.83556,4.84888
0.025,4.96428,5.07005,4.83992,4.85989
0.03,5.01435,5.14818,4.85336,4.87782
0.035,5.06452,5.22899,4.87058,4.89894
0.04,5.11415,5.31137,4.87955,4.91281
0.045,5.15491,5.3949,4.886,4.92454
0.05,5.2097,5.47916,4.89154,4.93637
0.055,5.27239,5.59654,4.90624,4.95485
0.06,5.33424,5.69028,4.91298,4.96741
0.065,5.41418,5.82815,4.9271,4.98867
0.07,5.49435,5.97354,4.9407,5.00949
0.075,5.57471,6.1359,4.95332,5.02611
0.08,5.66633,6.30632,4.9622,5.04229
0.085,5.80007,6.5622,4.98474,5.07297
0.09,5.93705,6.79398,5.00412,5.10198
0.095,6.09106,7.0837,5.02226,5.128
0.1,6.24559,7.38147,5.03885,5.14936
0.105,6.45399,7.80746,5.06085,5.18139
0.11,6.73433,8.33789,5.0844,5.21203
0.115,6.95264,8.89667,5.10924,5.24644
0.12,7.3351,9.68833,5.12815,5.27122
0.125,7.80905,10.6742,5.16115,5.32336
0.13,8.29034,11.8635,5.18774,5.35548
0.135,8.96236,13.8808,5.21952,5.40393
0.14,9.96707,17.0041,5.25133,5.44762
0.145,11.5845,22.8482,5.30115,5.51243
0.15,13.613,37.7636,5.33275,5.5545
0.155,17.6822,259.651,5.37219,5.62218
0.16,25.6035,,5.43035,5.69785
0.165,69.8468,,5.48324,5.75892
0.17,3486.41,,5.5403,5.84726
0.175,,,5.60511,5.94095
0.18,,,5.69785,6.05969
0.185,,,5.75527,6.17736
0.19,,,5.85998,6.31706
0.195,,,5.93756,6.44965
0.2,,,6.06705,6.63336
0.205,,,6.18584,6.80584
0.21,,,6.35342,7.0601
0.215,,,6.54563,7.37843
0.22,,,6.72931,7.62387
0.225,,,6.93349,8.00302
0.23,,,7.19838,8.49601
0.235,,,7.52025,8.97436
0.24,,,7.82144,9.60065
0.245,,,8.18985,10.4163
0.25,,,8.72484,11.5142
0.255,,,9.35882,12.799
0.26,,,10.0819,15.0268
0.265,,,10.9961,18.0246
0.27,,,11.9481,23.5689
0.275,,,13.6127,32.3241
0.28,,,15.9452,81.0301
0.285,,,18.5819,1551.75
0.29,,,22.4185,
0.295,,,29.6883,
0.3,,,47.2097,
0.305,,,124.253,
0.31,,,2012.69,
