Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,17.7377,16.4368,13.0278,14.6933
0.01,17.7637,16.4745,13.0858,14.7321
0.015,17.8118,16.5158,13.1136,14.782
0.02,17.8797,16.5825,13.1768,14.8433
0.025,17.9363,16.6482,13.2416,14.9108
0.03,17.9965,16.7063,13.3091,14.9801
0.035,18.0766,16.7815,13.3732,15.0463
0.04,18.1536,16.8521,13.4356,15.1169
0.045,18.2248,16.9127,13.5,15.1837
0.05,18.31,16.9917,13.5656,15.256
0.055,18.3942,17.0635,13.6347,15.324
0.06,18.4881,17.1529,13.7072,15.4062
0.065,18.5918,17.2392,13.7804,15.4809
0.07,18.7137,17.3324,13.8626,15.5726
0.075,18.8239,17.4262,13.9345,15.6461
0.08,18.9578,17.5253,14.0102,15.7263
0.085,19.0879,17.6361,14.085,15.8212
0.09,19.2354,17.7315,14.1665,15.9008
0.095,19.4122,17.8542,14.2513,15.9888
0.1,19.594,17.9755,14.3377,16.0814
0.105,19.8109,18.1092,14.4239,16.1777
0.11,20.0486,18.2426,14.5051,16.2724
0.115,20.2869,18.3953,14.5972,16.3691
0.12,20.5966,18.556,14.6849,16.4755
0.125,20.9639,18.7316,14.7893,16.5835
0.13,21.3632,18.9251,14.8838,16.6852
0.135,21.8565,19.124,14.9801,16.7837
0.14,22.4537,19.3606,15.08,16.8979
0.145,23.1843,19.6103,15.184,17.0188
0.15,24.1169,19.8895,15.2873,17.1331
0.155,25.3746,20.214,15.394,17.2536
0.16,27.205,20.5594,15.5043,17.3703
0.165,30.0256,20.9931,15.6255,17.5098
0.17,38.74,21.4801,15.7458,17.6427
0.175,850.399,22.0522,15.8659,17.7782
0.18,,22.7427,15.9886,17.9231
0.185,,23.5949,16.115,18.0742
0.19,,24.6384,16.253,18.2221
0.195,,25.9837,16.3915,18.387
0.2,,27.9629,16.5419,18.5622
0.205,,30.7177,16.6835,18.7322
0.21,,35.9534,16.8505,18.923
0.215,,191.222,17.0069,19.1154
0.22,,929.406,17.187,19.3226
0.225,,,17.3671,19.5395
0.23,,,17.5717,19.7852
0.235,,,17.782,20.031
0.24,,,17.992,20.2951
0.245,,,18.2403,20.6062
0.25,,,18.4941,20.9221
0.255,,,18.7781,21.2568
0.26,,,19.0733,21.6621
0.265,,,19.4196,22.0895
0.27,,,19.7871,22.5569
0.275,,,20.2371,23.104
0.28,,,20.7088,23.7524
0.285,,,21.3056,24.4779
0.29,,,21.9797,25.3668
0.295,,,22.813,26.4868
0.3,,,24.0132,27.842
0.305,,,25.5542,29.5749
0.31,,,28.0265,31.9378
0.315,,,34.9629,35.2843
0.32,,,375.185,40.5951
0.325,,,,52.3175
0.33,,,,167.927
0.335,,,,1891.23
