Injection_rate,O-RLNoC,Onion+,D-RLNoC,RHP-RLNoC
0.005,9.34166,10.4388,9.28647,8.78896
0.01,9.45987,10.6912,9.33726,8.82997
0.015,9.54782,10.9667,9.35013,8.83799
0.02,9.65469,11.3111,9.36579,8.85018
0.025,9.79065,11.8392,9.389,8.87004
0.03,9.9481,12.6221,9.40454,8.8817
0.035,10.1418,14.0347,9.43023,8.9007
0.04,10.4049,17.0008,9.46105,8.92238
0.045,10.7076,24.7886,9.47708,8.93269
0.05,11.1283,103.906,9.50461,8.94792
0.055,11.7612,16573.6,9.54534,8.97564
0.06,12.6884,,9.58001,8.99438
0.065,14.3984,,9.63355,9.021
0.07,17.4337,,9.6733,9.03934
0.075,29.3556,,9.72541,9.06268
0.08,1648.66,,9.80333,9.0897
0.085,,,9.88195,9.11596
0.09,,,9.97092,9.14068
0.095,,,10.1045,9.17349
0.1,,,10.2215,9.19477
0.105,,,10.4117,9.23467
0.11,,,10.6899,9.27629
0.115,,,11.0038,9.30819
0.12,,,11.5573,9.35087
0.125,,,12.1278,9.39521
0.13,,,13.0191,9.44105
0.135,,,15.0125,9.49257
0.14,,,18.8242,9.54367
0.145,,,28.566,9.61148
0.15,,,526.468,9.67957
0.155,,,,9.75287
0.16,,,,9.83373
0.165,,,,9.92146
0.17,,,,10.0176
0.175,,,,10.1231
0.18,,,,10.2555
0.185,,,,10.3904
0.19,,,,10.5574
0.195,,,,10.7404
0.2,,,,10.9665
0.205,,,,11.2111
0.21,,,,11.5232
0.215,,,,11.9231
0.22,,,,12.3893
0.225,,,,12.9486
0.23,,,,13.6428
0.235,,,,14.7765
0.24,,,,16.4087
0.245,,,,19.5395
0.25,,,,51.2299
0.255,,,,1005.07
