NoCSize, HopCount
4,2.6666666666666665
6,4.0
8,5.333333333333333
10,6.666666666666667
12,8.0
14,9.333333333333334
16,10.666666666666666
18,12.0
20,13.333333333333334
22,14.666666666666666
24,16.0
26,17.333333333333332
28,18.666666666666668
30,20.0
32,21.333333333333332
